list,trials,item,condition,,,D,C,F,size_A,size_B,size_C,size_D,size_E,size_F,color_A,color_B,color_C,color_D,color_E,color_F,form_A,form_B,form_C,form_D,form_E,form_F,noun,sentence_1,sentence_2,context
1,46,33,fbrcf,br,cf,NA,BR-CE,BR-CE,NA,NA,NA,NA,NA,NA,brown,brown,black,black,brown,black,circle,star,circle,circle,star,star,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
1,47,33,fbrdc,br,dc,BR-A,BR-CE,NA,10,10,3,3,9,2,brown,black,brown,brown,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
1,48,33,fbrdf,br,df,BR-A,NA,BR-CE,10,10,3,3,9,2,NA,NA,NA,NA,NA,NA,circle,star,circle,circle,star,star,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
1,49,33,fercf,er,cf,NA,R-CE,NR-CE,NA,NA,NA,NA,NA,NA,brown,black,black,black,black,black,circle,circle,circle,circle,circle,star,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
1,50,33,ferdc,er,dc,R-A,NR-CE,NA,9,3,1,3,1,2,brown,brown,brown,brown,brown,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
1,51,33,ferdf,er,df,R-A,NA,NR-CE,9,3,1,3,1,2,NA,NA,NA,NA,NA,NA,circle,circle,circle,circle,circle,star,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
1,52,33,fzrcf,zr,cf,NA,NR-CE,R-CE,NA,NA,NA,NA,NA,NA,brown,brown,brown,brown,brown,black,circle,star,star,star,star,star,Aufkleber,Brauchst du den braunen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
1,53,33,fzrdc,zr,dc,NR-A,R-CE,NA,10,10,10,9,9,3,brown,black,black,black,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen braunen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
1,54,33,fzrdf,zr,df,NR-A,NA,R-CE,10,10,10,9,9,3,NA,NA,NA,NA,NA,NA,circle,star,star,star,star,star,Aufkleber,Brauchst du den großen runden Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
1,55,34,fbrdc,br,dc,BR-A,BR-AB,NA,9,9,3,3,9,3,blue,orange,blue,blue,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
1,56,34,fbrdf,br,df,BR-B,NA,BR-AB,10,9,1,3,9,3,NA,NA,NA,NA,NA,NA,triangle,diamond,triangle,triangle,diamond,diamond,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
1,57,34,fbrcf,br,cf,NA,BR-BA,BR-BA,NA,NA,NA,NA,NA,NA,orange,orange,blue,blue,orange,blue,diamond,triangle,diamond,diamond,triangle,triangle,Aufkleber,Brauchst du den orangen Aufkleber?,Brauchst du den diamantförmigen Aufkleber?,Welche Frage passt besser?
1,58,34,fbrdf,br,df,BR-A,BR-AC,NA,10,10,3,3,10,2,blue,brown,blue,blue,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
1,59,34,fbrcf,br,cf,BR-B,NA,BR-AC,10,9,2,1,10,2,NA,NA,NA,NA,NA,NA,triangle,circle,triangle,triangle,circle,circle,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
1,60,34,fbrdc,br,dc,NA,BR-CA,BR-CA,NA,NA,NA,NA,NA,NA,brown,brown,blue,blue,brown,blue,circle,triangle,circle,circle,triangle,triangle,Aufkleber,Brauchst du den braunen Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
1,61,34,fbrdf,br,df,BR-A,BR-AD,NA,10,10,1,1,9,3,blue,grey,blue,blue,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
1,62,34,fbrcf,br,cf,BR-A,NA,BR-AD,10,10,3,1,9,2,NA,NA,NA,NA,NA,NA,triangle,quadrat,triangle,triangle,quadrat,quadrat,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
1,63,34,fbrdc,br,dc,NA,BR-DA,BR-DA,NA,NA,NA,NA,NA,NA,grey,grey,blue,blue,grey,blue,quadrat,triangle,quadrat,quadrat,triangle,triangle,Aufkleber,Brauchst du den grauen Aufkleber?,Brauchst du den quadratischen Aufkleber?,Welche Frage passt besser?
1,64,35,fbrdf,br,df,BR-A,BR-AE,NA,9,9,2,1,10,3,blue,black,blue,blue,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
1,65,35,fbrcf,br,cf,BR-B,NA,BR-AE,9,10,1,1,9,1,NA,NA,NA,NA,NA,NA,triangle,star,triangle,triangle,star,star,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
1,66,35,fbrdc,br,dc,NA,BR-EA,BR-EA,NA,NA,NA,NA,NA,NA,black,black,blue,blue,black,blue,star,triangle,star,star,triangle,triangle,Aufkleber,Brauchst du den schwarzen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
1,67,35,fbrdf,br,df,BR-A,BR-AF,NA,10,10,2,3,10,3,blue,green,blue,blue,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
1,68,35,fbrcf,br,cf,BR-B,NA,BR-AF,10,9,2,3,10,1,NA,NA,NA,NA,NA,NA,triangle,heart,triangle,triangle,heart,heart,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
1,69,35,fbrdc,br,dc,NA,BR-FA,BR-FA,NA,NA,NA,NA,NA,NA,green,green,blue,blue,green,blue,heart,triangle,heart,heart,triangle,triangle,Aufkleber,Brauchst du den grünen Aufkleber?,Brauchst du den herzförmigen Aufkleber?,Welche Frage passt besser?
1,70,35,fbrdf,br,df,BR-A,BR-BC,NA,10,10,2,2,10,3,orange,brown,orange,orange,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
1,71,35,fbrcf,br,cf,BR-B,NA,BR-BC,10,10,1,3,9,1,NA,NA,NA,NA,NA,NA,diamond,circle,diamond,diamond,circle,circle,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den diamantförmigen Aufkleber?,Welche Frage passt besser?
1,72,35,fbrdc,br,dc,NA,BR-CB,BR-CB,NA,NA,NA,NA,NA,NA,brown,brown,orange,orange,brown,orange,circle,diamond,circle,circle,diamond,diamond,Aufkleber,Brauchst du den braunen Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
1,73,36,fbrdf,br,df,BR-A,BR-BD,NA,10,9,3,2,9,1,orange,grey,orange,orange,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
1,74,36,fbrcf,br,cf,BR-B,NA,BR-BD,10,9,2,2,10,2,NA,NA,NA,NA,NA,NA,diamond,quadrat,diamond,diamond,quadrat,quadrat,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den diamantförmigen Aufkleber?,Welche Frage passt besser?
1,75,36,fbrdc,br,dc,NA,BR-DB,BR-DB,NA,NA,NA,NA,NA,NA,grey,grey,orange,orange,grey,orange,quadrat,diamond,quadrat,quadrat,diamond,diamond,Aufkleber,Brauchst du den grauen Aufkleber?,Brauchst du den quadratischen Aufkleber?,Welche Frage passt besser?
1,76,36,fbrdf,br,df,BR-A,BR-BE,NA,10,10,3,3,9,1,orange,black,orange,orange,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
1,77,36,fbrcf,br,cf,BR-B,NA,BR-BE,9,9,3,3,9,3,NA,NA,NA,NA,NA,NA,diamond,star,diamond,diamond,star,star,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den diamantförmigen Aufkleber?,Welche Frage passt besser?
1,78,36,fbrdc,br,dc,NA,BR-EB,BR-EB,NA,NA,NA,NA,NA,NA,black,black,orange,orange,black,orange,star,diamond,star,star,diamond,diamond,Aufkleber,Brauchst du den schwarzen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
1,79,36,fbrdf,br,df,BR-A,BR-BF,NA,10,9,1,1,9,2,orange,green,orange,orange,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
1,80,36,fbrcf,br,cf,BR-B,NA,BR-BF,9,10,1,3,10,1,NA,NA,NA,NA,NA,NA,diamond,heart,diamond,diamond,heart,heart,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den diamantförmigen Aufkleber?,Welche Frage passt besser?
1,81,36,fbrdc,br,dc,NA,BR-FB,BR-FB,NA,NA,NA,NA,NA,NA,green,green,orange,orange,green,orange,heart,diamond,heart,heart,diamond,diamond,Aufkleber,Brauchst du den grünen Aufkleber?,Brauchst du den herzförmigen Aufkleber?,Welche Frage passt besser?
1,82,37,fbrdf,br,df,BR-A,BR-CD,NA,10,9,3,2,10,3,brown,grey,brown,brown,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
1,83,37,fbrcf,br,cf,BR-B,NA,BR-CD,10,9,2,2,10,3,NA,NA,NA,NA,NA,NA,circle,quadrat,circle,circle,quadrat,quadrat,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
1,84,37,fbrdc,br,dc,NA,BR-DC,BR-DC,NA,NA,NA,NA,NA,NA,grey,grey,brown,brown,grey,brown,quadrat,circle,quadrat,quadrat,circle,circle,Aufkleber,Brauchst du den grauen Aufkleber?,Brauchst du den quadratischen Aufkleber?,Welche Frage passt besser?
1,85,37,fbrdf,br,df,BR-A,BR-CE,NA,10,10,1,1,10,3,brown,black,brown,brown,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
1,86,37,fbrcf,br,cf,BR-B,NA,BR-CE,10,9,3,3,10,3,NA,NA,NA,NA,NA,NA,circle,star,circle,circle,star,star,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
1,87,37,fbrdc,br,dc,NA,BR-EC,BR-EC,NA,NA,NA,NA,NA,NA,black,black,brown,brown,black,brown,star,circle,star,star,circle,circle,Aufkleber,Brauchst du den schwarzen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
1,88,37,fbrdf,br,df,BR-A,BR-CF,NA,10,9,1,3,10,1,brown,green,brown,brown,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den braunen Aufkleber?,Welche Frage passt besser?
1,89,37,fbrcf,br,cf,BR-B,NA,BR-CF,9,9,1,1,10,1,NA,NA,NA,NA,NA,NA,circle,heart,circle,circle,heart,heart,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den runden Aufkleber?,Welche Frage passt besser?
1,90,37,fbrdc,br,dc,NA,BR-FC,BR-FC,NA,NA,NA,NA,NA,NA,green,green,brown,brown,green,brown,heart,circle,heart,heart,circle,circle,Aufkleber,Brauchst du den grünen Aufkleber?,Brauchst du den herzförmigen Aufkleber?,Welche Frage passt besser?
1,91,38,fbrdf,br,df,BR-A,BR-DE,NA,10,10,1,3,9,2,grey,black,grey,grey,black,black,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den grauen Aufkleber?,Welche Frage passt besser?
1,92,38,fbrcf,br,cf,BR-B,NA,BR-DE,9,9,3,2,10,2,NA,NA,NA,NA,NA,NA,quadrat,star,quadrat,quadrat,star,star,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den quadratischen Aufkleber?,Welche Frage passt besser?
1,93,38,fbrdc,br,dc,NA,BR-ED,BR-ED,NA,NA,NA,NA,NA,NA,black,black,grey,grey,black,grey,star,quadrat,star,star,quadrat,quadrat,Aufkleber,Brauchst du den schwarzen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
1,94,38,fbrdf,br,df,BR-A,BR-DF,NA,9,10,3,1,10,2,grey,green,grey,grey,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den grauen Aufkleber?,Welche Frage passt besser?
1,95,38,fbrcf,br,cf,BR-B,NA,BR-DF,10,9,3,1,10,1,NA,NA,NA,NA,NA,NA,quadrat,heart,quadrat,quadrat,heart,heart,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den quadratischen Aufkleber?,Welche Frage passt besser?
1,96,38,fbrdc,br,dc,NA,BR-FD,BR-FD,NA,NA,NA,NA,NA,NA,green,green,grey,grey,green,grey,heart,quadrat,heart,heart,quadrat,quadrat,Aufkleber,Brauchst du den grünen Aufkleber?,Brauchst du den herzförmigen Aufkleber?,Welche Frage passt besser?
1,97,38,fbrdf,br,df,BR-A,BR-EF,NA,10,10,1,2,9,2,black,green,black,black,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den schwarzen Aufkleber?,Welche Frage passt besser?
1,98,38,fbrcf,br,cf,BR-B,NA,BR-EF,9,10,2,2,10,3,NA,NA,NA,NA,NA,NA,star,heart,star,star,heart,heart,Aufkleber,Brauchst du den großen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
1,99,38,fbrdc,br,dc,NA,BR-FE,BR-FE,NA,NA,NA,NA,NA,NA,black,black,green,green,black,green,star,heart,star,star,heart,heart,Aufkleber,Brauchst du den schwarzen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
2,1,28,fbrcf,br,cf,NA,BR-DF,BR-DF,NA,NA,NA,NA,NA,NA,grey,grey,green,green,grey,green,quadrat,heart,quadrat,quadrat,heart,heart,Aufkleber,Brauchst du den grauen quadratischen Aufkleber?,Brauchst du den grauen Aufkleber?,Welche Frage passt besser?
2,2,28,fbrdc,br,dc,BR-A,BR-DF,NA,10,10,2,1,10,3,grey,green,grey,grey,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,3,28,fbrdf,br,df,BR-A,NA,BR-DF,10,10,2,1,10,3,NA,NA,NA,NA,NA,NA,quadrat,heart,quadrat,quadrat,heart,heart,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,4,28,fercf,er,cf,NA,R-DF,NR-DF,NA,NA,NA,NA,NA,NA,grey,green,green,green,green,green,quadrat,quadrat,quadrat,quadrat,quadrat,heart,Aufkleber,Brauchst du den grauen quadratischen Aufkleber?,Brauchst du den grauen Aufkleber?,Welche Frage passt besser?
2,5,28,ferdc,er,dc,R-A,NR-DF,NA,10,2,1,2,1,2,grey,grey,grey,grey,grey,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,6,28,ferdf,er,df,R-A,NA,NR-DF,10,2,1,2,1,2,NA,NA,NA,NA,NA,NA,quadrat,quadrat,quadrat,quadrat,quadrat,heart,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,7,28,fzrcf,zr,cf,NA,NR-DF,R-DF,NA,NA,NA,NA,NA,NA,grey,grey,grey,grey,grey,green,quadrat,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den grauen quadratischen Aufkleber?,Brauchst du den grauen Aufkleber?,Welche Frage passt besser?
2,8,28,fzrdc,zr,dc,NR-A,R-DF,NA,9,10,10,10,10,1,grey,green,green,green,green,green,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grauen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,9,28,fzrdf,zr,df,NR-A,NA,R-DF,9,10,10,10,10,1,NA,NA,NA,NA,NA,NA,quadrat,heart,heart,heart,heart,heart,Aufkleber,Brauchst du den großen quadratischen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,10,29,fbrcf,br,cf,NA,BR-EA,BR-EA,NA,NA,NA,NA,NA,NA,black,black,blue,blue,black,blue,star,triangle,star,star,triangle,triangle,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
2,11,29,fbrdc,br,dc,BR-A,BR-EA,NA,9,10,1,2,9,2,black,blue,black,black,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen Aufkleber?,Welche Frage passt besser?
2,12,29,fbrdf,br,df,BR-A,NA,BR-EA,9,10,1,2,9,2,NA,NA,NA,NA,NA,NA,star,triangle,star,star,triangle,triangle,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
2,13,29,fercf,er,cf,NA,R-EA,NR-EA,NA,NA,NA,NA,NA,NA,black,blue,blue,blue,blue,blue,star,star,star,star,star,triangle,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
2,14,29,ferdc,er,dc,R-A,NR-EA,NA,10,1,1,3,2,1,black,black,black,black,black,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen Aufkleber?,Welche Frage passt besser?
2,15,29,ferdf,er,df,R-A,NA,NR-EA,10,1,1,3,2,1,NA,NA,NA,NA,NA,NA,star,star,star,star,star,triangle,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
2,16,29,fzrcf,zr,cf,NA,NR-EA,R-EA,NA,NA,NA,NA,NA,NA,black,black,black,black,black,blue,star,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den schwarzen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
2,17,29,fzrdc,zr,dc,NR-A,R-EA,NA,9,9,10,10,9,3,black,blue,blue,blue,blue,blue,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen schwarzen Aufkleber?,Brauchst du den schwarzen Aufkleber?,Welche Frage passt besser?
2,18,29,fzrdf,zr,df,NR-A,NA,R-EA,9,9,10,10,9,3,NA,NA,NA,NA,NA,NA,star,triangle,triangle,triangle,triangle,triangle,Aufkleber,Brauchst du den großen sternförmigen Aufkleber?,Brauchst du den sternförmigen Aufkleber?,Welche Frage passt besser?
2,19,30,fbrcf,br,cf,NA,BR-FB,BR-FB,NA,NA,NA,NA,NA,NA,green,green,orange,orange,green,orange,heart,diamond,heart,heart,diamond,diamond,Aufkleber,Brauchst du den grünen herzförmigen Aufkleber?,Brauchst du den grünen Aufkleber?,Welche Frage passt besser?
2,20,30,fbrdc,br,dc,BR-A,BR-FB,NA,10,9,2,2,9,2,green,orange,green,green,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,21,30,fbrdf,br,df,BR-A,NA,BR-FB,10,9,2,2,9,2,NA,NA,NA,NA,NA,NA,heart,diamond,heart,heart,diamond,diamond,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,22,30,fercf,er,cf,NA,R-FB,NR-FB,NA,NA,NA,NA,NA,NA,green,orange,orange,orange,orange,orange,heart,heart,heart,heart,heart,diamond,Aufkleber,Brauchst du den grünen herzförmigen Aufkleber?,Brauchst du den grünen Aufkleber?,Welche Frage passt besser?
2,23,30,ferdc,er,dc,R-A,NR-FB,NA,10,2,3,2,2,2,green,green,green,green,green,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,24,30,ferdf,er,df,R-A,NA,NR-FB,10,2,3,2,2,2,NA,NA,NA,NA,NA,NA,heart,heart,heart,heart,heart,diamond,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,25,30,fzrcf,zr,cf,NA,NR-FB,R-FB,NA,NA,NA,NA,NA,NA,green,green,green,green,green,orange,heart,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den grünen herzförmigen Aufkleber?,Brauchst du den grünen Aufkleber?,Welche Frage passt besser?
2,26,30,fzrdc,zr,dc,NR-A,R-FB,NA,10,9,10,10,10,1,green,orange,orange,orange,orange,orange,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen grünen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,27,30,fzrdf,zr,df,NR-A,NA,R-FB,10,9,10,10,10,1,NA,NA,NA,NA,NA,NA,heart,diamond,diamond,diamond,diamond,diamond,Aufkleber,Brauchst du den großen herzförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,28,31,fbrcf,br,cf,NA,BR-AC,BR-AC,NA,NA,NA,NA,NA,NA,blue,blue,brown,brown,blue,brown,triangle,circle,triangle,triangle,circle,circle,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
2,29,31,fbrdc,br,dc,BR-A,BR-AC,NA,9,10,2,1,10,1,blue,brown,blue,blue,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
2,30,31,fbrdf,br,df,BR-A,NA,BR-AC,9,10,2,1,10,1,NA,NA,NA,NA,NA,NA,triangle,circle,triangle,triangle,circle,circle,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
2,31,31,fercf,er,cf,NA,R-AC,NR-AC,NA,NA,NA,NA,NA,NA,blue,brown,brown,brown,brown,brown,triangle,triangle,triangle,triangle,triangle,circle,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
2,32,31,ferdc,er,dc,R-A,NR-AC,NA,10,2,1,2,3,3,blue,blue,blue,blue,blue,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
2,33,31,ferdf,er,df,R-A,NA,NR-AC,10,2,1,2,3,3,NA,NA,NA,NA,NA,NA,triangle,triangle,triangle,triangle,triangle,circle,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
2,34,31,fzrcf,zr,cf,NA,NR-AC,R-AC,NA,NA,NA,NA,NA,NA,blue,blue,blue,blue,blue,brown,triangle,circle,circle,circle,circle,circle,Aufkleber,Brauchst du den blauen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
2,35,31,fzrdc,zr,dc,NR-A,R-AC,NA,9,10,9,10,10,3,blue,brown,brown,brown,brown,brown,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen blauen Aufkleber?,Brauchst du den blauen Aufkleber?,Welche Frage passt besser?
2,36,31,fzrdf,zr,df,NR-A,NA,R-AC,9,10,9,10,10,3,NA,NA,NA,NA,NA,NA,triangle,circle,circle,circle,circle,circle,Aufkleber,Brauchst du den großen dreieckigen Aufkleber?,Brauchst du den dreieckigen Aufkleber?,Welche Frage passt besser?
2,37,32,fbrcf,br,cf,NA,BR-BD,BR-BD,NA,NA,NA,NA,NA,NA,orange,orange,grey,grey,orange,grey,diamond,quadrat,diamond,diamond,quadrat,quadrat,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
2,38,32,fbrdc,br,dc,BR-A,BR-BD,NA,9,10,3,3,9,2,orange,grey,orange,orange,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,39,32,fbrdf,br,df,BR-A,NA,BR-BD,9,10,3,3,9,2,NA,NA,NA,NA,NA,NA,diamond,quadrat,diamond,diamond,quadrat,quadrat,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,40,32,fercf,er,cf,NA,R-BD,NR-BD,NA,NA,NA,NA,NA,NA,orange,grey,grey,grey,grey,grey,diamond,diamond,diamond,diamond,diamond,quadrat,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
2,41,32,ferdc,er,dc,R-A,NR-BD,NA,10,1,3,2,2,1,orange,orange,orange,orange,orange,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,42,32,ferdf,er,df,R-A,NA,NR-BD,10,1,3,2,2,1,NA,NA,NA,NA,NA,NA,diamond,diamond,diamond,diamond,diamond,quadrat,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,43,32,fzrcf,zr,cf,NA,NR-BD,R-BD,NA,NA,NA,NA,NA,NA,orange,orange,orange,orange,orange,grey,diamond,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den orangen diamantförmigen Aufkleber?,Brauchst du den orangen Aufkleber?,Welche Frage passt besser?
2,44,32,fzrdc,zr,dc,NR-A,R-BD,NA,10,10,9,9,10,1,orange,grey,grey,grey,grey,grey,NA,NA,NA,NA,NA,NA,Aufkleber,Brauchst du den großen orangen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
2,45,32,fzrdf,zr,df,NR-A,NA,R-BD,10,10,9,9,10,1,NA,NA,NA,NA,NA,NA,diamond,quadrat,quadrat,quadrat,quadrat,quadrat,Aufkleber,Brauchst du den großen diamantförmigen Aufkleber?,Brauchst du den großen Aufkleber?,Welche Frage passt besser?
